x,y
2.288957734270242,-14.760760070182307
2.292074230350754,-14.759586889812478
2.2951907264312656,-14.758413709442648
2.2983387698761693,-14.757328019584078
2.301486813321073,-14.756242329725508
2.3046348567659765,-14.755156639866938
2.30778290021088,-14.75407095000837
2.3109309436557837,-14.7529852601498
2.3141026344526083,-14.751970727011189
2.317274325249433,-14.750956193872579
2.3204460160462577,-14.749941660733969
2.3236177068430823,-14.748927127595358
2.326789397639907,-14.747912594456748
2.3299821995399967,-14.746966594442593
2.3331750014400865,-14.746020594428437
2.3363678033401762,-14.745074594414282
2.339560605240266,-14.744128594400127
2.3427534071403557,-14.74318259438597
2.3459462090404455,-14.742236594371816
2.34916110532609,-14.741368641681547
2.3523760016117348,-14.740500688991277
2.3555908978973794,-14.739632736301006
2.358805794183024,-14.738764783610737
2.3620206904686687,-14.737896830920466
2.3652518965030516,-14.737091717535055
2.3684831025374344,-14.736286604149644
2.3717143085718178,-14.735481490764235
2.3749455146062006,-14.734676377378824
2.378176720640584,-14.733871263993414
2.3814222582903324,-14.733126022177583
2.384667795940081,-14.732380780361751
2.3879133335898293,-14.73163553854592
2.3911588712395777,-14.730890296730088
2.394404408889326,-14.730145054914255
2.3976499465390746,-14.729399813098423
2.4009101729130498,-14.728721709868495
2.404170399287025,-14.728043606638568
2.407430625661,-14.72736550340864
2.4106908520349752,-14.726687400178713
2.41395107840895,-14.726009296948785
2.4172220717616253,-14.72538519560545
2.4204930651143006,-14.724761094262114
2.4237640584669764,-14.72413699291878
2.4270350518196517,-14.723512891575444
2.4303060451723275,-14.72288879023211
2.433577038525003,-14.722264688888774
2.4368589046030324,-14.721700547908275
2.440140770681062,-14.721136406927776
2.4434226367590917,-14.720572265947279
2.4467045028371213,-14.72000812496678
2.449986368915151,-14.719443983986283
2.45327604283098,-14.718927316271484
2.456565716746809,-14.718410648556686
2.459855390662638,-14.717893980841888
2.463145064578467,-14.71737731312709
2.466434738494296,-14.716860645412291
2.469724412410125,-14.716343977697495
2.473021921276405,-14.715879935375282
2.476319430142685,-14.71541589305307
2.4796169390089653,-14.714951850730856
2.4829144478752454,-14.714487808408643
2.4862119567415255,-14.714023766086429
2.489515005431108,-14.713600954835103
2.4928180541206904,-14.713178143583777
2.4961211028102728,-14.712755332332451
2.499424151499855,-14.712332521081125
2.5027272001894376,-14.711909709829799
2.50603024887902,-14.711486898578475
2.5093387943538588,-14.711109503770714
2.5126473398286975,-14.710732108962954
2.515955885303536,-14.710354714155194
2.519264430778375,-14.709977319347434
2.5225729762532136,-14.709599924539674
2.525885380694368,-14.709258052022177
2.5291977851355227,-14.70891617950468
2.5325101895766773,-14.708574306987183
2.535822594017832,-14.708232434469688
2.5391349984589864,-14.70789056195219
2.542447402900141,-14.707548689434695
2.545763600824142,-14.707245817632028
2.549079798748143,-14.706942945829363
2.552395996672144,-14.706640074026696
2.555712194596145,-14.70633720222403
2.5590283925201462,-14.706034330421364
2.562347240969778,-14.705762034684383
2.5656660894194094,-14.705489738947403
2.568984937869041,-14.70521744321042
